"","words","term.freq","doc.freq"
"237","quantity",28,26
"238","city",48,36
"239","liberties",2,1
"240","order",82,60
"241","governor",124,61
"242","council",32,18
"243","find",62,43
"244","serve",16,15
"245","ten",57,41
"246","days",87,59
"247","worse",5,5
"248","district",23,21
"249","montreal",49,24
"250","frequent",5,5
"251","supplies.wheat",1,1
"252","bad",25,22
"253","shipped",6,5
"254","year",118,68
"255","sells",5,5
"256","merchant",19,16
"257","upwards",32,27
"258","fifteen",12,12
"259","hundred",66,45
"260","pounds",20,15
"261","job.government",1,1
"262","relief",20,15
"263","poor",36,26
"264","caused",14,11
"265","issued",24,20
"266","contractor",2,2
"267","rise",18,17
"268","dollar's",2,1
"269","worth",19,17
"270","time",225,106
"271","day",134,84
"272","yesterday",30,26
"273","delivered",12,11
"274","way.in",1,1
"275","letters",41,32
"276","thursday's",1,1
"277","post",20,15
"278","thousand",41,32
"279","bushels",11,7
"280","damaged",3,3
"281","england",102,63
"282","hear",48,18
"283","cargo",25,24
"284","york",82,46
"285","vessel",108,61
"286","call",27,23
"287","brunswick",6,5
"288","people",196,86
"289","detained",3,3
"290","government",214,110
"291","starving",4,4
"292","condition",40,29
"293","proclamation",24,15
"294","permit",6,6
"295","importation",9,8
"296","states.my",1,1
"297","servant",6,6
"298","baker's",1,1
"299","half",57,34
"300","watching",3,3
"301","hours",26,22
"302","till",42,32
"303","overn",1,1
"304","eighteen-pennyworth",1,1
"305","small",78,63
"306","loaves",1,1
"307","weighing",2,2
"308","thirty-five",1,1
"309","shillings",7,5
"310","paid",48,35
"311","lord",82,40
"312","us–except",1,1
"313","distribute",1,1
"314","troops",62,31
"315","queen.mr",1,1
"316","davidson",3,3
"317","assured",16,14
"318","thursday",35,31
"319","flourin",1,1
"320","country",372,141
"321","weeks",22,19
"322","deal",10,6
"323","pains",5,5
"324","informed",42,39
"325","subjuct",1,1
"326","indebted",6,6
"327","stood",10,9
"328","offered",24,21
"329","expence",22,18
"330","quantities",8,8
"331","insisted",3,3
"332","coinage",7,5
"333","americans",55,35
"334","won",3,3
"335","contracted",5,5
"336","congress",51,22
"337","coined",2,2
"338","rate",34,20
"339","annum",9,6
"340","contracters",1,1
"341","bound",34,32
"342","famous",2,2
"343","jersey",4,3
"344","copper",14,12
"345","larger",11,9
"346","halfpence",2,2
"347","passes",8,6
"348","states;–silver",1,1
"349","gold",27,13
"350","coins",6,5
"351","nations",28,23
"352","pass",26,17
"353","cur",1,1
"354","rent",11,7
"355","ordered",30,23
"356","silver",15,12
"357","gentleman",59,39
"358","bermuda",6,4
"359","friend",38,21
"360","norfolk",6,5
"361","virginia",16,14
"362","april",55,27
"363","captain",110,59
"364","gilbert",1,1
"365","bearer",4,3
"366","distress",26,15
"367","provi",1,1
"368","sions",1,1
"369","corn",34,23
"370","sale",26,20
"371","past",20,18
"372","george",34,18
"373","baltimore",7,6
"374","immeddiately",1,1
"375","barrels",9,4
"376","superfine",1,1
"377","barrel",4,4
"378","expected",51,42
"379","relieve",5,5
"380","number",214,122
"381","obliged",20,15
"382","live",40,28
"383","greens",1,1
"384","field",24,19
"385","hamilton",9,4
"386","advice",12,10
"387","counsel",7,6
"388","opened",20,17
"389","foreign",35,25
"390","thirty",17,17
"391","computed",3,3
"392","march",44,30
"393","laden",9,6
"394","salted",2,2
"395","permited",0,0
"396","allowed",27,25
"397","dispose",6,5
"398","prove",23,21
"399","set",41,34
"400","intent",1,1
"401","ready",23,21
"402","sail",34,28
"403","advise",11,6
"404","late",69,52
"405","publication",7,5
"406","entitled",21,17
"407","state",216,104
"408","give",106,74
"409","public",130,61
"410","idea",24,22
"411","bill",77,19
"412","talked",5,5
"413","procrastinated",1,1
"414","long",82,51
"415","pending",1,1
"416","work",55,32
"417","understand",50,38
"418","production",10,9
"419","adam",4,4
"420","lymburner",1,1
"421","esq",64,28
"422","negotiate",3,3
"423","afair",1,1
"424","remarkablewithhis",1,1
"425","strong",31,27
"426","nervous",1,1
"427","elocution",1,1
"428","perspicuity",1,1
"429","reasoning.liberty",1,1
"430","congenial",5,4
"431","feelings",14,12
"432","mankind",6,6
"433","security",32,20
"434","flows",1,1
"435","free",65,39
"436","constitution",25,18
"437","political",19,13
"438","civil",28,21
"439","liberty",27,19
"440","contributes",1,1
"441","bringing",13,12
"442","powers",16,12
"443","human",30,24
"444","mind",32,28
"445","encouragement",14,10
"446","called",71,47
"447","participate",3,3
"448","legislative",23,13
"449","authority",38,27
"450","representatives",16,13
"451","criterion",2,2
"452","freedom",6,6
"453","extremely",22,18
"454","natural",28,24
"455","subjects",45,27
"456","struggle",3,3
"457","valuable",38,27
"458","constantly",14,14
"459","acknoledged",1,1
"460","prin",3,3
"461","ciple",3,3
"462","granted",26,18
"463","means",116,71
"464","rendered",15,12
"465","flourishing",10,9
"466","prosperous",6,6
"467","ther",3,3
"468","inhabitants",79,57
"469","general",189,95
"470","tendency",7,7
"471","mild",19,16
"472","administration",15,12
"473","enjoyed",5,5
"474","peculiar",12,12
"475","nature",42,34
"476","system",52,33
"477","deprived",5,5
"478","full",73,54
"479","enjoyment",5,5
"480","essential",8,8
"481","privileges",3,3
"482","prayer",7,5
"483","petitions",3,3
"484","fore",2,2
"485","house",166,71
"486","commons",12,11
"487","objects",23,18
"488","prayed",2,2
"489","reduced",19,16
"490","heads",7,6
"491","elective",9,9
"492","assembly",33,18
"493","members",45,24
"494","receive",33,28
"495","salaries",7,5
"496","counsellors",1,1
"497","habeas",2,2
"498","corpusact",1,1
"499","laws",51,28
"500","relating",4,4
"501","personal",12,11
"502","libertybe",1,1
"503","part",178,108
"504","trial",23,16
"505","jury",20,10
"506","likewise",15,13
"507","twelve",26,25
"508","return",53,42
"509","verdict",5,4
"510","ancient",4,4
"511","relative",22,16
"512","marriage",8,7
"513","settlements",41,33
"514","inheritance",3,3
"515","dowers",1,1
"516","continued",28,25
"517","force",57,38
"518","districts",10,9
"519","curious",17,14
"520","anecdote.–a",1,1
"521","stranger",7,3
"522","waited",5,4
"523","sibbly",5,1
"524","treasurer",3,3
"525","east",31,24
"526","india",53,40
"527","company",110,47
"528","desired",13,13
"529","speak",16,12
"530","private",41,34
"531","retired",11,8
"532","returned",42,34
"533","smuggled",1,1
"534","duty",30,22
"535","pay",55,30
"536","smiled",2,2
"537","told",17,15
"538","money",88,48
"539","chairman's",1,1
"540","permission",7,7
"541","pray",4,4
"542","resolved",26,18
"543","pays",5,5
"544","exclusive",11,11
"545","privilege",6,6
"546","europe",38,26
"547","man",130,74
"548","deprives",1,1
"549","advantages",25,18
"550","hope",64,48
"551","reap",2,2
"552","opinion",39,29
"553","strictly",12,10
"554","honest",6,6
"555","chairman",14,11
"556","answer",19,16
"557","notwithstanding",12,12
"558","gave",47,37
"559","including",15,13
"560","bank",28,15
"561","note",7,3
"562","thing",55,40
"563","dublin",11,9
"564","indiaman",3,3
"565","william",53,26
"566","joneswe",1,1
"567","left",103,77
"568","patia",1,1
"569","dec",15,14
"570","decca",2,1
"571","passage",67,49
"572","famine",9,6
"573","shocking",6,6
"574","sight",9,9
"575","behold",3,3
"576","move",9,8
"577","corpses",1,1
"578","lay",20,20
"579","wild",32,12
"580","dogs",2,2
"581","jackalls",1,1
"582","eating",12,11
"583","noon-day",2,2
"584","hindoos",1,1
"585","bury",2,2
"586","dead",20,17
"587","burn",2,2
"588","afford",31,25
"589","throw",4,4
"590","river",149,62
"591","side",68,38
"592","laid",40,28
"593","lowwater",1,1
"594","mark",14,13
"595","tide",4,4
"596","flowed",1,1
"597","woman",26,21
"598","child",23,20
"599","dies",2,2
"600","night",44,33
"601","corpse",4,3
"602","eaten",1,1
"603","eye",11,8
"604","witness",4,4
"605","rode",3,3
"606","horseback",4,4
"607","opportunity",28,25
"608","notice",40,34
"609","it.i",1,1
"610","dreadful",29,23
"611","conflagration",4,3
"612","place",197,106
"613","burnt",24,20
"614","miles",122,53
"615","intermission",2,2
"616","perished",6,6
"617","inudation",1,1
"618","distressed",11,11
"619","leave",40,30
"620","december",24,22
"621","calcutta",10,7
"622","sunderburns",1,1
"623","hearty",2,2
"624","god",10,10
"625","sending",17,14
"626","men",189,96
"627","rank",26,24
"628","govern",3,2
"629","revived",3,3
"630","laudably",1,1
"631","too.this",1,1
"632","important",51,41
"633","possession",33,22
"634","hold",28,23
"635","distinction",3,3
"636","parent",7,6
"637","bestow",1,1
"638","it.the",6,5
"639","salary",8,6
"640","emoluments",2,2
"641","annexed",6,5
"642","render",14,13
"643","king's",30,22
"644","gift",2,2
"645","ireland.soon",1,1
"646","restoration",4,4
"647","o'brian",1,1
"648","earl",27,17
"649","inchiquin",1,1
"650","appointed",31,25
"651","died",27,22
"652","government.henry",1,1
"653","bentinck",2,2
"654","duke",43,15
"655","portland",1,1
"656","reign",2,2
"657","grace",16,7
"658","july",49,35
"659","age.the",1,1
"660","death",49,26
"661","noblemen",1,1
"662","impression",6,6
"663","climate",40,27
"664","insalubrity",1,1
"665","air",11,9
"666","persons",135,84
"667","fortune",10,9
"668","ambitious",1,1
"669","governors",13,9
"670","notwith",1,1
"671","standing",5,5
"672","brilliancy",4,2
"673","appointments",2,2
"674","nexd",1,1
"675","situation",47,28
"676","bay",46,38
"677","honduras",3,3
"678","spaniards",18,10
"679","annual",16,11
"680","visit",11,10
"681","settlement",66,45
"682","prevent",31,29
"683","encroachments",2,2
"684","destroying",9,9
"685","cultivated",7,5
"686","spots",1,1
"687","shore",17,16
"688","alledging",1,1
"689","settlers",79,40
"690","prohibited",11,11
"691","convention",14,5
"692","cultivation",24,20
"693","kind",38,35
"694","temporary",12,10
"695","misfortune",4,4
"696","woodcutters",2,1
"697","depriving",2,2
"698","principal",34,30
"699","subsisting",8,8
"700","negroes",23,13
"701","mischief",2,2
"702","superintendant",1,1
"703","colonel",44,34
"704","despar",1,1
"705","calypso",1,1
"706","sloop",7,7
"707","war",94,61
"708","mahogany",1,1
"709","raise",14,13
"710","form",62,45
"711","philadelphia",34,27
"712","travelled",6,6
"713","appearance",41,29
"714","poverty",10,8
"715","boast",4,4
"716","britain–every",1,1
"717","meet",27,23
"718","extravagance",2,2
"719","procure",15,11
"720","easily",24,19
"721","frugal",1,1
"722","out-givings",1,1
"723","manufactured",6,6
"724","equal",30,27
"725","quality",30,23
"726","place.i",1,1
"727","children",67,31
"728","village",13,9
"729","farm-house",1,1
"730","them.–the",1,1
"731","increase",44,32
"732","rabbits",1,1
"733","supposed",43,39
"734","double",9,8
"735","numbers",44,31
"736","shorter",4,4
"737","period.–what",1,1
"738","grand",26,19
"739","prospect",17,14
"740","hundreds",5,5
"741","acres",67,33
"742","land",231,107
"743","lye",2,2
"744","sic",2,2
"745","idle",6,5
"746","purchased",25,17
"747","manufacture",9,8
"748","wages",22,16
"749","high",59,41
"750","back",38,32
"751","pence",0,0
"752","engaging",7,7
"753","tons",19,17
"754","transports",6,6
"755","contract",9,6
"756","carry",37,30
"757","felons",1,1
"758","sentence",9,6
"759","transportation",17,11
"760","botany",10,9
"761","victualling",3,3
"762","convicts",35,22
"763","voyage",52,35
"764","included",6,6
"765","dear",9,7
"766","beef",10,9
"767","good",199,105
"768","pound",6,5
"769","mutton",4,4
"770","butter",11,9
"771","parishes",12,10
"772","upper",81,32
"773","niagara",27,15
"774","months.there",1,1
"775","orders",36,29
"776","load",6,5
"777","exceedingly",6,6
"778","brisk",9,7
"779","giving",15,13
"780","preference",9,9
"781","european",12,8
"782","m'donald",2,2
"783","honour",31,22
"784","adopted",29,26
"785","liberal",11,10
"786","plan",51,32
"787","establishing",14,10
"788","free-villages",1,1
"789","extensive",28,19
"790","domains",1,1
"791","proposed",48,29
"792","lordship",25,10
"793","fraser",6,6
"794","perpetual",5,5
"795","feus",1,1
"796","lands",53,35
"797","subject",91,52
"798","moderate",6,6
"799","quit",6,4
"800","threatened",4,4
"801","emigrations",9,6
"802","america",110,72
"803","deserve",3,3
"804","highest",17,15
"805","praises",1,1
"806","kitt's",1,1
"807","matthew",4,3
"808","slegg",1,1
"809","downs",4,4
"810","fixed",17,15
"811","august",27,23
"812","weather",27,22
"813","fine",45,38
"814","short",57,47
"815","description",44,35
"816","remarks",20,13
"817","western",40,24
"818","territory",28,21
"819","settled",32,26
"820","nation",34,27
"821","wha",1,1
"822","world",46,35
"823","experience",22,19
"824","obstinate",2,2
"825","rebel",1,1
"826","dare",5,5
"827","deny",6,6
"828","pleasure",23,17
"829","inform",12,12
"830","readers",17,15
"831","paying",12,10
"832","attention",45,37
"833","agriculture",5,5
"834","manufactures–they",1,1
"835","beginning",19,19
"836","rebellion",1,1
"837","vermont",7,4
"838","kentucky",26,17
"839","indiana",2,1
"840","territory.about",1,1
"841","seventeen",4,3
"842","wilderness",3,2
"843","began",8,8
"844","forest",8,6
"845","rapid",12,11
"846","published",23,18
"847","abridged",1,1
"848","rerejoice",1,1
"849","heart",17,13
"850","briton",5,5
"851","read",34,21
"852","settling",8,7
"853","countries",22,18
"854","manufacturing",4,4
"855","opening",12,10
"856","customers",2,2
"857","tradesman",2,2
"858","twenty",30,27
"859","purchase",18,15
"860","lots",3,2
"861","territory.–hence",1,1
"862","demand",34,23
"863","manufactures",16,11
"864","continually",4,3
"865","increasing",17,15
"866","america.–desponding",1,1
"867","politicians",2,2
"868","derive",9,9
"869","comfort",19,16
"870","channels",3,3
"871","inland",4,3
"872","parts",49,37
"873","continent",12,9
"874","require",12,9
"875","supply.–british",1,1
"876","ages",7,7
"877","ascend",1,1
"878","rivers",12,7
"879","extraordinary",27,18
"880","navigation",19,16
"881","diffused",1,1
"882","fertile",26,18
"883","thirteen",7,6
"884","states.the",4,4
"885","bounded",3,2
"886","mississippi",8,6
"887","north",94,48
"888","lakes–east",1,1
"889","pennsylvania",10,7
"890","south",202,112
"891","south-east",2,2
"892","ohio",22,17
"893","hutchins",1,1
"894","geographer",1,1
"895","square",14,9
"896","sixty-three",2,2
"897","deducts",1,1
"898","forth-three",1,1
"899","water",67,43
"900","remain",23,21
"901","fed–ral",1,1
"902","discharge",13,11
"903","debt",21,12
"904","owing",11,11
"905","proportion",39,25
"906","native",37,30
"907","indians",132,61
"908","disposed",19,17
"909","congress*.on",1,1
"910","commenced–one",1,1
"911","marietta",1,1
"912","miami.this",1,1
"913","end",31,28
"914","muskingham",1,1
"915","hockhocking",1,1
"916","sioto",1,1
"917","miami",12,9
"918","wobash&c–coal",1,1
"919","iron",19,15
"920","mines",8,5
"921","salt",7,6
"922","pits",1,1
"923","abound",7,5
"924","soil",31,19
"925","excellent?as",1,1
"926","rich",16,10
"927","imagined",4,3
"928","yield",7,7
"929","labour",72,32
"930","healthy",7,7
"931","pleasant",4,3
"932","commodious–the",1,1
"933","spot",15,12
"934","earth",12,7
"935","europeans",15,15
"936","americans–exceeding",1,1
"937","timber",30,10
"938","tall",1,1
"939","variety?streams",1,1
"940","mills",9,4
"941","indigo",1,1
"942","hemp",3,3
"943","cotton",7,6
"944","thrive",3,3
"945","escape",11,9
"946","exhibit",4,4
"947","latent",2,2
"948","beauties",3,3
"949","fulfill",1,1
"950","travellers",3,3
"951","garden",5,5
"952","center",1,1
"953","empire",11,11
"954","future",29,25
"955","period",37,28
"956","centrical",1,1
"957","accommodate",1,1
"958","stocked",2,2
"959","game",6,4
"960","herds",3,3
"961","deers",1,1
"962","elks",1,1
"963","bears",4,4
"964","fill",6,6
"965","meadows",2,2
"966","thie",2,2
"967","country?turkies",1,1
"968","geese",3,3
"969","swans",3,3
"970","partridges",1,1
"971","innumerable",3,3
"972","excellently",1,1
"973","stored",2,2
"974","fish",25,11
"975","navigable",7,7
"976","sloops.in",1,1
"977","ordinance",1,1
"978","acquire",1,1
"979","fifty",15,13
"980","divided",13,10
"981","states.rejoice",1,1
"982","britons",1,1
"983","supplied",13,12
"984","natives",61,19
"985","rum",9,8
"986","women",44,30
"987","female",28,22
"988","destined",16,16
"989","beautiful",26,15
"990","pity",3,2
"991","send",29,25
"992","abroad",6,6
"993","preferred",5,4
"994","carlisle",3,3
"995","saturday",33,29
"996","o'clock",44,31
"997","happened",12,10
"998","violent",9,7
"999","hurricane",2,2
"1000","pest",1,1
"1001","thunder",4,4
"1002","storm",14,8
"1003","lost",44,36
"1004","determine",2,2
"1005","proper",37,25
"1006","borough",5,3
"1007","vicinity",14,12
"1008","conceive",8,8
"1009","earthquake",7,6
"1010","attended",30,23
"1011","circumstances",44,35
"1012","cloud",4,2
"1013","clouds",3,3
"1014","lowering",1,1
"1015","aspect",3,3
"1016","furiously",1,1
"1017","agitated",2,2
"1018","broken",16,14
"1019","seemingly",1,1
"1020","fall",28,26
"1021","attracted",6,5
"1022","prepared",18,17
"1023","measure",29,23
"1024","follow",21,18
"1025","lightening",2,2
"1026","distance",50,30
"1027","remarkably",2,2
"1028","red",21,8
"1029","flash",2,2
"1030","quick",2,2
"1031","succession",3,3
"1032","sheet",1,1
"1033","flame",1,1
"1034","effect",54,35
"1035","motion",35,13
"1036","pressed",12,12
"1037","heavy",31,30
"1038","suddenly",9,7
"1039","falling",16,12
"1040","hail",7,4
"1041","fell",39,30
"1042","rain",4,4
"1043","abundant",13,10
"1044","thrown",18,14
"1045","buckets",1,1
"1046","dashed",2,2
"1047","opposing",8,8
"1048","object",64,49
"1049","impetuous",1,1
"1050","wind",16,14
"1051","darkened",1,1
"1052","manner",48,37
"1053","surrounding",3,3
"1054","ruins",4,4
"1055","irresistible",3,3
"1056","column",4,3
"1057","happily",6,6
"1058","damages",3,2
"1059","apprehended",3,3
"1060","brick",3,2
"1061","rev",22,10
"1062","elevated",6,4
"1063","lying",21,19
"1064","directly",4,4
"1065","line",18,12
"1066","powerful",11,11
"1067","sufferer",2,2
"1068","building",19,16
"1069","borne",6,5
"1070","roof",6,4
"1071","paton's",2,1
"1072","striking",11,10
"1073","forcibly",7,6
"1074","injuring",3,3
"1075","ways",5,5
"1076","adjoining",13,12
"1077","lot",6,6
"1078","doctor's",2,2
"1079","injruing",1,1
"1080","smaller",12,8
"1081","buildings",18,13
"1082","pointed",16,14
"1083","fury",10,10
"1084","presbyterian",5,4
"1085","church",37,15
"1086","town–a",1,1
"1087","uncommon",5,5
"1088","solidity",2,2
"1089","calculated",31,26
"1090","stand",21,17
"1091","admist",1,1
"1092","elements",3,2
"1093","fourth",9,7
"1094","weighty",3,3
"1095","cornice",1,1
"1096","ground",35,29
"1097","open",35,25
"1098","centre",4,4
"1099","beat",5,5
"1100","injured",5,5
"1101","range",3,2
"1102","nearest",3,3
"1103","fences",3,3
"1104","neighbourhood",21,18
"1105","direction",25,18
"1106","farmers",22,14
"1107","sustained",7,7
"1108","learned",12,9
"1109","forgotten",3,3
"1110","scene",16,11
"1111","providence",9,8
"1112","single",30,27
"1113","life",34,26
"1114","injury",12,12
"1115","mentioning",1,1
"1116","hoped",15,11
"1117","restored",6,6
"1118","rapidity",6,6
"1119","launched",6,6
"1120","october",29,26
"1121","pronounced",4,4
"1122","judges",8,8
"1123","excellent",28,24
"1124","piece",14,10
"1125","workshmanship",1,1
"1126","aug",11,10
"1127","happy",31,27
"1128","informing",2,2
"1129","memory",8,7
"1130","oldest",1,1
"1131","mildew",1,1
"1132","fly",7,6
"1133","affected",5,5
"1134","large",103,72
"1135","grains",1,1
"1136","distinguished",15,12
"1137","favours",2,2
"1138","gratitude",7,7
"1139","sates",2,2
"1140","author",12,7
"1141","blessings",4,3
"1142","connected",13,13
"1143","deliverance",2,2
"1144","anarchy",3,3
"1145","establishment",31,24
"1146","wise",7,7
"1147","albany",1,1
"1148","county",32,23
"1149","ontario",6,5
"1150","genesee",1,1
"1151","ceded",1,1
"1152","commonwealth",5,4
"1153","massachusetts",5,4
"1154","brant",1,1
"1155","head",41,37
"1156","sachems",1,1
"1157","conadoque",2,1
"1158","seat",7,7
"1159","oliver",2,2
"1160","phelps",2,1
"1161","friendship",3,3
"1162","due",37,24
"1163","messrs",24,19
"1164","gorham",0,0
"1165","phelps–that",1,1
"1166","met",29,22
"1167","conducted",16,16
"1168","highly",31,27
"1169","gratified",7,6
"1170","treatment",5,4
"1171","lands.–the",1,1
"1172","informs",8,8
"1173","suburbs",1,1
"1174","hot",5,5
"1175","sunday",28,22
"1176","midnight",3,3
"1177","squall",1,1
"1178","change",28,21
"1179","sudden",16,16
"1180","unhealthy.upwards",1,1
"1181","unhappy",9,9
"1182","tions",3,3
"1183","heat",7,5
"1184","labouring",15,12
"1185","drinking",3,3
"1186","cold",19,16
"1187","raw",2,2
"1188","pernicious",2,2
"1189","extreme",17,13
"1190","intoxicated",1,1
"1191","momments",1,1
"1192","cry",1,1
"1193","fellow",20,19
"1194","drank",5,4
"1195","instantaneously",1,1
"1196","fatal",15,12
"1197","veral",1,1
"1198","instances",9,8
"1199","concluded",14,13
"1200","favoured",9,9
"1201","grenada",4,4
"1202","packet.a",1,1
"1203","arrive",10,9
"1204","martinico",4,3
"1205","white",21,18
"1206","arms",30,25
"1207","conceived",7,6
"1208","english",53,31
"1209","estates",3,3
"1210","assembled",23,21
"1211","mountains",23,8
"1212","declaring",5,4
"1213","longer",14,13
"1214","event",19,14
"1215","unknown",10,7
"1216","reports",26,16
"1217","resisted",2,2
"1218","military",43,28
"1219","militia",47,18
"1220","die",5,5
"1221","singular",6,5
"1222","spirit",22,19
"1223","discontent",5,4
"1224","assented",1,1
"1225","writers",6,6
"1226","civilized",7,6
"1227","treated",5,5
"1228","bloodshed",2,2
"1229","mistaken",3,2
"1230","humanity",15,13
"1231","meaning",2,2
"1232","ill",9,9
"1233","leaders",4,4
"1234","reviving",2,2
"1235","things",39,25
"1236","expect",21,19
"1237","firm",9,9
"1238","union",22,17
"1239","mercantile",7,7
"1240","interests",23,20
"1241","betwixt",2,2
"1242","subsisted",3,3
"1243","vain",8,7
"1244","instil",3,3
"1245","prejudices",9,9
"1246","ready-money",1,1
"1247","degree–and",1,1
"1248","betweixt",1,1
"1249","agian",1,1
"1250","danville(kentucky",1,1
"1251","baltimoreit",1,1
"1252","concern",12,10
"1253","communicate",12,11
"1254","melancholy",15,11
"1255","intelligence",38,28
"1256","richard",7,5
"1257","chenoweth",3,1
"1258","officer",25,20
"1259","garrison",14,10
"1260","falls",8,6
"1261","guard",25,24
"1262","exposed",21,17
"1263","plantation",2,1
"1264","bear",16,14
"1265","crab",1,1
"1266","evening",53,37
"1267","station",12,9
"1268","rushed",3,3
"1269","chenoweth's",3,1
"1270","killed",79,39
"1271","soldiers",20,15
"1272","tomahawked",1,1
"1273","scalped",5,4
"1274","wife",23,18
"1275","floor",13,13
"1276","arm",4,2
"1277","broke",15,13
"1278","savages",17,14
"1279","rest",21,18
"1280","escape.–there",1,1
"1281","sick",12,11
"1282","chamber",3,3
"1283","reported",13,13
"1284","heard",34,28
"1285","massacre",9,9
"1286","crawling",1,1
"1287","stairs",2,2
"1288","inexpressibly",1,1
"1289","shocked",2,2
